"Type","SHA256","Comment"
"MBR","b5ed343494f0326a08aa6abf7cc9aa4d96207532cf0d2b39453c6eb7bede19e3","NT5.1/NT5.2 MBR"
"MBR","4799e8c92d32bca8e5103110a322523adb7a3909324132bd9abab8f3345e094a","NT6.0 MBR"
"MBR","088995559ab317af9b3291408da689651e8353f62e0a478d92eb0b5a947063fd","NT6.1+ MBR"
"MBR","955ff28fdffd869e617dfc1d44a6a40b45005c5d76491069e06ad48817499fea","GRUB2 MBR"
"MBR","e6e6605c48665800786de4651ade2893970aafb1237a06db0943a8603dd4fce1","TrueCrypt MBR"
"MBR","8a029cf94efd555b34d5564cc5c8e290a6ba5a52b6cdf9f02253f0d939f4dcec","Safeboot MBR"
"MBR","eedc57fa55ab1c71aa2fd511ff121e7d635b1e4bf7e7aeaa2a860360442790e1","Safeboot MBR"
"VBR","5cb5aa385e0ada266690a2821e3a36ad372720d2ff47c0b1cd9d6ebcab25bf4e","NT5.1/NT5.2 VBR"
"VBR","a1932aaba7d6d3adb1637e2ee0c8355706842ba825ea811728165420c518c0b1","NT6.0 VBR"
"VBR","96d38c1be37b9124fb71d1d0f5c52969f0074687fe17aef0e1bafc54428674f6","NT6.1 VBR"
"VBR","51643dcce7e93d795b08e1f19e38374ae4deaf3b1217527561a44aa9913ded23","NT6.2+ VBR"
"VBR","47138cbe995a20483209270ef55693c8c8e85ca870f28789229ce421aded92b4","NT6.1+ Bitlocker VBR"
"IPL","525788a688cfbe9e416122f0bc3cfb32ce9699fd12356b6ccaa173444c7d8f3f","NT5.1/NT5.2 IPL"
"IPL","ff1aae04bac3e29f062a7fa17320d7d26363256a69f96840718d45301da71291","NT6.0 IPL"
"IPL","462afe2322bad3d1c2747d7437d5f6c157e00ca37e5d38ebedd25346b3b488ce","NT6.1 IPL"
"IPL","c09d496a1f24086c333468d58256d5db9c73fee945fca74603bdab05f19a6d57","NT6.2+ IPL"
